categories2,idf_score
japanese,1.8581467198051
breakfast brunch,1.5434357510668
mexican,1.18547973229996
fast food,1.14260285662075
italian,1.495273132946
pizza,1.0306776132512
chicken wings,1.7218754353715
sandwiches,1.22623445096513
salad,1.5545445919931102
burgers,1.34658204612723
bars,1.37184713385273
chinese,1.3769245242805999
thai,1.93988808393316
seafood,1.7616995861979
barbeque,1.9715993815980402
delis,1.85742797995421
bakeries,1.93568695042611
coffee tea,1.6672613541564398
soup,1.93343831485356
american,1.09081647869926
